word;meaning;pos;plural;present;fs;mp;fp;uses;example;arabicScript;pronunciation;usesPronunciation
ana;I;Personal pronoun;;;;;; ana kbir.; I am big.;أنا; [sound:darija_818.mp3];
khaS;need;Verb;;kheS;;;; khaSni nn3es; I need to sleep;خاص; [sound:darija_2.mp3]  ;
nta; you (masc.sing)        ;Personal Pronoun;;;;;; nta dki; You're smart;نتا; [sound:darija_919.mp3];
nti; you (fem.sing);Personal Pronoun;;;;;; nti ghliDa; You're fat;نتي; [sound:darija_920.mp3];
wa7ed;one;Numeral;;;;;; 3endi bent we7da; I have one daughter; واحد  ; [sound:darija_5.mp3]  ;
juj;two;Numeral;;;;;; chrit juj dyal srawel; I bought two pants; جوج  ; [sound:darija_6.mp3]  ;
tlata;three;Numeral;;;;;; fe9t m3a tlata dyal sba7; I woke up at three in the morning; ثلاثة  ; [sound:darija_7.mp3]  ;
reb3a;four;Numeral;;;;;; 3endi reb3a dyal lekhkhut; I have four siblings; ربعة  ; [sound:darija_8.mp3]  ;
khemsa;five;Numeral;;;;;; 3endi khemsa euro; I have five euros; خمسة  ; [sound:darija_9.mp3]  ;
setta;six;Numeral;;;;;; mchit setta tel merrat; I went six times; ستة  ; [sound:darija_10.mp3]  ;
seb3a;seven;Numeral;;;;;;;; سبعة  ; [sound:darija_11.mp3]  ;
tmenia;eight;Numeral;;;;;;;; تمنية  ; [sound:darija_12.mp3]  ;
tes3ud;nine;Numeral;;;;;;;; تسعود  ; [sound:darija_13.mp3]  ;
3echra;ten;Numeral;;;;;;;; عشرة  ; [sound:darija_14.mp3]  ;
7Dach;eleven;Numeral;;;;;;;; حضاش  ; [sound:darija_15.mp3]  ;
Tnach;twelve;Numeral;;;;;;;; طناش  ; [sound:darija_16.mp3]  ;
telTTach;thirteen;Numeral;;;;;;;; تلطاش  ; [sound:darija_17.mp3]  ;
rbe3Tach;fourteen;Numeral;;;;;;;; ربعطاش  ; [sound:darija_18.mp3]  ;
khemsTTach;fifteen;Numeral;;;;;;;; خمسطاش  ; [sound:darija_19.mp3]  ;
seTTach;sixteen;Numeral;;;;;;;; سطاش  ; [sound:darija_20.mp3]  ;
sbe3Tach;seventeen;Numeral;;;;;;;; سبعطاش  ; [sound:darija_21.mp3]  ;
tmenTach;eighteen;Numeral;;;;;;;; تمنطاش  ; [sound:darija_22.mp3]  ;
tse3Tach;nineteen;Numeral;;;;;;;; تسعطاش  ; [sound:darija_23.mp3]  ;
3echrin;twenty;Numeral;;;;;;;; عشرين  ; [sound:darija_24.mp3]  ;
wa7ed w 3echrin;twenty one;Numeral;;;;;;;; واحد و عشرين  ; [sound:darija_25.mp3]  ;
tlatin;thirty;Numeral;;;;;;;; تلاتين  ; [sound:darija_26.mp3]  ;
reb3in;forty;Numeral;;;;;;;; ربعين  ; [sound:darija_27.mp3]  ;
khemsin;fifty;Numeral;;;;;;;; خمسين  ; [sound:darija_28.mp3]  ;
settin;sixty;Numeral;;;;;;;; ستين  ; [sound:darija_29.mp3]  ;
seb3in;seventy;Numeral;;;;;;;; سبعين  ; [sound:darija_30.mp3]  ;
tmanin;eighty;Numeral;;;;;;;; تمانين  ; [sound:darija_31.mp3]  ;
tes3in;ninety;Numeral;;;;;;;; تسعين  ; [sound:darija_32.mp3]  ;
mya;one hundred;Numeral;;;;;;;; مية  ; [sound:darija_33.mp3]  ;
alf;one thousand;Numeral;;;;;;;; ألف  ; [sound:darija_34.mp3]  ;
3echralaf;ten thousand;Numeral;;;;;;;; عشرآلاف  ; [sound:darija_35.mp3]  ;
myatalf;one hundred thousand;Numeral;;;;;;;; مية ألف  ; [sound:darija_36.mp3]  ;
melyun;one million;Numeral;;;;;;;; مليون  ; [sound:darija_37.mp3]  ;
melyar;one billion;Numeral;;;;;;;; مليار  ; [sound:darija_38.mp3];
mra; woman;Noun;3yalat;;;;;;; مرأة  ; [sound:darija_39.mp3]  ;
Sif;summer;Noun;Syufa;;;;;;;صيف; [sound:darija_40.mp3]  ;
m3a;with/at;Preposition;;;;;;;; مع  ; [sound:darija_916.mp3];
Tul;length;Noun;Tul;;;;;;;طول; [sound:darija_42.mp3]  ;
7uma;neighbourhood;Noun;7umat;;;;;;;حومى; [sound:darija_43.mp3]  ;
chaf; to see, to look;Verb;;chuf;;;;;; شاف  ; [sound:darija_827.mp3];
m3eTTel; late;Adjective;;;m3eTTla;m3eTTlin;m3eTTlat;;; معطل  ; [sound:darija_45.mp3]  ;
bekri; early;Adverb;;;;;;;; بكري  ; [sound:darija_46.mp3]  ;
kaneTa;can;Noun;kaneTat;;;;;;; كانيطة  ; [sound:darija_47.mp3]  ;
derri;" boy ;guy";Noun;drari;;;;;;; دري  ; [sound:darija_48.mp3]  ;
derriya; girl;Noun;derriyat;;;;;;; درية  ; [sound:darija_49.mp3]  ;
l7em; meat;Noun;l7em;;;;;;;لحم  ; [sound:darija_50.mp3]  ;
kheDra;veggie;Noun;kheDra;;;;;;;خضرة; [sound:darija_51.mp3]  ;
rbi3;spring;Noun;rbi3;;;;;;;ربيع; [sound:darija_52.mp3]  ;
muwDDaf; employee;Noun;muwDDafin;;;;;;; موظف  ; [sound:darija_53.mp3]  ;
Sba7; morning;Noun;Sba7at;;;;;;;صباح  ; [sound:darija_54.mp3]  ;
nhar; day;Noun;nharat;;;;;;; نهار  ; [sound:darija_55.mp3]  ;
kul kulla; every all of;Pronoun;;;;;;;; كل كُلَّ  ; [sound:darija_56.mp3]  ;
3a2ila; family;Noun;3a2ilat;;;;;;; عائلة  ; [sound:darija_57.mp3]  ;
3endi; in my possession;Adverb;;;;;;;; عندي  ; [sound:darija_58.mp3]  ;
Sa7ba;female friend;Noun;S7abat;;;;;;;صاحبة; [sound:darija_59.mp3]  ;
jedd; grand-father;Noun;jduda;;;;;;; جد  ; [sound:darija_60.mp3]  ;
jedda; grand-mother;Noun;jeddat;;;;;;; جدة  ; [sound:darija_61.mp3]  ;
bezzaf; a lot too a lot;Adverb;;;;;;;; بزاف  ; [sound:darija_62.mp3]  ;
ttnin;monday;Noun (Day of the week);;;;;;;; الاثنين  ; [sound:darija_63.mp3]  ;
ttlat;tuesday;Noun (Day of the week);;;;;;;; الثلاثاء  ; [sound:darija_64.mp3]  ;
larbe3;wednesday;Noun (Day of the week);;;;;;;; الأربعاء  ; [sound:darija_65.mp3]  ;
lekhmis;thursday;Noun (Day of the week);;;;;;;; الخميس  ; [sound:darija_66.mp3]  ;
jjem3a;friday;Noun (Day of the week);;;;;;;; الجمعة  ; [sound:darija_67.mp3]  ;
ssebt;Saturday;Noun (Day of the week);;;;;;;;السبت; [sound:darija_68.mp3]  ;
l7edd; Sunday;Noun (Day of the week);;;;;;;; الحد  ; [sound:darija_69.mp3]  ;
bernamaj; program;Noun;baramij;;;;;;; برنامج  ; [sound:darija_70.mp3]  ;
n3as; sleep;Noun;n3as;;;;;fiya nn3as.;I am sleepy.;نعاس; [sound:darija_71.mp3]  ;
Tbib; doctor;Noun;Tbba;;;;;;; طبيب  ; [sound:darija_72.mp3]  ;
su9; market;Noun;swa9;;;;;;; سوق  ; [sound:darija_73.mp3]  ;
khrej;To go out;Verb;;khrej;;;;;; خرج  ; [sound:darija_74.mp3]  ;
kherrej; to take out;Verb;;kherrej;;;;;; خرج; [sound:darija_75.mp3]  ;
rje3; to return \n to come back;Verb;;rje3;;;;;; رجع  ; [sound:darija_76.mp3]  ;
rejje3; to return (something) give back;Verb;;rejje3;;;;;; رجع; [sound:darija_77.mp3]  ;
mriD; sick;Adjective;;;mriDa;mrAd;mraDat;;; مريض  ; [sound:darija_78.mp3]  ;
bjuj;both;;;;;;;;;بجوج; [sound:darija_79.mp3]  ;
fTer; to have breakfast;Verb;;fTer;;;;;; فطر  ; [sound:darija_80.mp3]  ;
fa9; to wake up;Verb;;fi9;;;;;; فاق  ; [sound:darija_897.mp3];
t3echcha; to have dinner;Verb;;t3echcha;;;;;; تعشى  ; [sound:darija_82.mp3]  ;
3amer; full;Adjective;;;3amra;3amrin;3amrat;;; عامر  ; [sound:darija_83.mp3]  ;
khawi; empty;Adjective;;;khawya;khawyin;khawyat;;; خاوي  ; [sound:darija_84.mp3]  ;
t9edda; to go shopping;Verb;;t9edda;;;;;; تقدى  ; [sound:darija_85.mp3]  ;
m3ach m3ayach fu9ach imta;when what time;Pronoun;;;;;;;;معاش معاياش فوقاش إمتى; [sound:darija_86.mp3]  ;
sa3a; hour watch;Noun;swaye3;;;;;;; ساعة  ; [sound:darija_87.mp3]  ;
ch7al; how many how much;Pronoun;;;;;;;; شحال  ; [sound:darija_88.mp3]  ;
jab; to bring;Verb;;jib;;;;;; جاب  ; [sound:darija_89.mp3]  ;
Sag; to drive;Verb;;Sug;;;;;; صاق  ; [sound:darija_90.mp3]  ;
7lem;to dream;Verb;;7lem;;;;;;حلم; [sound:darija_91.mp3]  ;
wjeh; face;Noun;wjuh;;;;;;; وجه  ; [sound:darija_92.mp3]  ;
neS; half;Noun;nSuSa;;;;;;; نص  ; [sound:darija_93.mp3]  ;
7wayj; clothes;Noun;7wayj;;;;;;; حوايج  ; [sound:darija_94.mp3]  ;
khda; to take;Verb;;yakhed;;;;;; خدا  ; [sound:darija_96.mp3]  ;
9ehwa; coffee café;Noun;9hawi;;;;;;; قهوة  ; [sound:darija_97.mp3]  ;
